"ID"	"Name Goods"	"Uri Goods"	"Created At"	"Name"	"Name"
"1635"	"Чайник электрический GEMLUX GL-EK-501G"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_501g/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1636"	"Чайник электрический GEMLUX GL-EK-301S"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_301s/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1637"	"Чайник электрический GEMLUX GL-EK-302G"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_302G/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1638"	"Чайник электрический GEMLUX GL-K101SS"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_k101ss/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1639"	"Чайник электрический GEMLUX GL-EK-88R"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_88r/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1640"	"Чайник электрический GEMLUX GL-EK-9217WF"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_9217wf/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1641"	"Чайник электрический GEMLUX GL-TK1598"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_tk1598/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1642"	"Чайник электрический GEMLUX GL-TK1597"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_tk1597/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1643"	"Чайник электрический GEMLUX GL-EK-9219G"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_9219g/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
"1644"	"Чайник электрический GEMLUX GL-EK-9215"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_9215/"	"2018-03-06 14:26:34"	"Gemlux kush "	"Чайники электрические"
